ra;fase;turma;idade;ano_ingresso;pedra;inde;classificacao_geral;classificacao_fase;classificacao_turma;recomendacao_avaliador_1;recomendacao_avaliador_2;recomendacao_avaliador_3;recomendacao_avaliador_4;iaa;ieg;ips;recomendacao_psicologia;ida;nota_matematica;nota_portugues;nota_ingles;indicado_bolsa;atingiu_ponto_virada;ipv;ian;fase_ideal;defasagem;destaque_ieg;destaque_ida;destaque_ipv;ipp;ano;feminino;masculino;formado;instituicao_nao_informada;instituicao_privada;instituicao_publica;pedra_oe;rec_aval_1_oe;rec_aval_2_oe;rec_aval_3_oe;rec_aval_4_oe;recomendacao_psicologia_le
RA-647;1;R;10;2022;agata;6.606;624.0;152.0;12.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;9.5;8.6;7.5;Não atendido;3.3;1.5;5.2;0.0;0;0;7.278;5.0;2;-1.0;1;0;0;5.625;2022;0;1;0;0;0;1;1;2;2;2;0;0
RA-648;1;R;12;2019;agata;6.736;574.0;140.0;10.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;9.0;7.5;6.9;Sem limitações;5.3;5.0;5.5;0.0;0;0;7.5;5.0;3;-2.0;0;0;1;6.041666666666667;2022;0;1;0;0;0;1;1;2;2;2;0;4
RA-649;1;R;12;2019;ametista;7.302;393.0;103.0;8.0;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;8.5;8.9;5.6;Requer avaliação;7.4;6.3;8.5;0.0;0;0;7.611;5.0;3;-2.0;1;0;1;6.041666666666667;2022;1;0;0;0;0;1;2;2;4;4;0;3
RA-650;1;R;11;2021;agata;7.004;486.0;127.0;9.0;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;6.9;8.7;5.6;Sem limitações;6.9;5.5;8.3;0.0;0;0;7.5;5.0;2;-1.0;1;0;1;6.25;2022;1;0;0;0;0;1;1;2;2;4;0;4
RA-651;1;R;10;2022;ametista;7.866;180.0;40.0;5.0;Mantido na Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Não avaliado;8.5;9.3;7.5;Não atendido;7.8;7.7;7.8;0.0;1;0;8.333;5.0;2;-1.0;1;1;1;6.875;2022;1;0;0;0;0;1;2;3;2;4;0;0
RA-652;1;R;9;2022;topazio;8.151;98.0;22.0;2.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;8.0;9.6;7.5;Não atendido;7.8;7.0;8.5;0.0;0;0;7.5;10.0;1;0.0;1;1;1;6.25;2022;1;0;0;0;0;1;3;2;2;2;0;0
RA-653;1;R;11;2022;topazio;8.101;115.0;25.0;3.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;9.5;9.6;7.5;Não atendido;9.3;9.5;9.0;0.0;0;0;7.5;5.0;2;-1.0;1;1;1;6.25;2022;1;0;0;0;0;1;3;2;2;2;0;0
RA-654;1;R;12;2022;ametista;7.308;384.0;99.0;7.0;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;8.5;8.6;7.5;Não atendido;6.8;5.5;8.0;0.0;0;0;7.556;5.0;3;-2.0;1;0;1;6.25;2022;1;0;0;0;0;1;2;2;2;2;0;0
RA-655;1;R;12;2019;ametista;7.785;206.0;50.0;6.0;Mantido na Fase + Bolsa;Mantido na Fase atual;Promovido de Fase;Não avaliado;7.5;9.2;7.5;Não atendido;8.3;8.3;8.2;0.0;1;1;8.389;5.0;3;-2.0;1;1;1;6.25;2022;1;0;0;0;0;1;2;3;2;4;0;0
RA-656;1;R;11;2020;agata;6.652;606.0;146.0;11.0;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;7.4;7.5;5.6;Requer avaliação;6.3;5.0;7.5;0.0;0;0;7.5;5.0;2;-1.0;0;0;1;6.041666666666667;2022;1;0;0;0;0;1;1;2;4;4;0;3
RA-657;1;R;12;2021;topazio;8.093;117.0;26.0;4.0;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;9.5;9.8;7.5;Não atendido;9.0;9.0;9.0;0.0;0;0;7.5;5.0;3;-2.0;1;1;1;6.25;2022;1;0;0;0;0;1;3;4;2;4;0;0
RA-658;1;U;10;2022;ametista;7.407;357.0;93.0;7.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;10.0;9.3;7.5;Não atendido;5.6;4.7;6.5;0.0;0;0;7.917;5.0;2;-1.0;1;0;1;5.9375;2022;1;0;0;0;0;1;2;4;4;0;0;0
RA-659;1;U;10;2022;ametista;7.783;208.0;51.0;3.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;8.0;7.8;7.5;Não atendido;9.3;9.5;9.0;0.0;0;0;8.333;5.0;2;-1.0;1;1;1;6.5625;2022;1;0;0;0;0;1;2;4;4;0;0;0
RA-660;1;U;9;2021;topazio;8.363;50.0;7.0;1.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;9.5;9.0;7.5;Não atendido;6.9;5.8;8.0;0.0;0;1;9.083;10.0;1;0.0;1;0;1;6.5625;2022;1;0;0;0;0;1;3;4;4;0;0;0
RA-661;1;U;11;2022;ametista;7.593;274.0;72.0;4.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;9.0;8.3;7.5;Não atendido;7.8;8.3;7.3;0.0;0;0;7.917;5.0;2;-1.0;1;1;1;6.25;2022;0;1;0;0;0;1;2;2;4;0;0;0
RA-662;1;U;11;2022;ametista;7.044;473.0;122.0;9.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;9.0;8.8;7.5;Não atendido;6.8;5.7;7.8;0.0;0;0;6.083;5.0;2;-1.0;1;0;0;5.625;2022;1;0;0;0;0;1;2;2;4;0;0;0
RA-663;1;U;10;2022;agata;6.376;665.0;161.0;11.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;6.9;8.7;7.5;Não atendido;5.8;5.0;6.5;0.0;0;0;5.25;5.0;2;-1.0;1;0;0;5.0;2022;0;1;0;0;0;1;1;2;4;0;0;0
RA-664;1;U;10;2022;ametista;7.277;405.0;105.0;8.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;8.8;7.5;Não atendido;6.3;5.0;7.5;0.0;0;0;7.167;5.0;2;-1.0;1;0;0;6.25;2022;1;0;0;0;0;1;2;2;2;0;0;0
RA-665;1;U;11;2022;agata;6.996;488.0;128.0;10.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;9.0;7.4;7.5;Não atendido;6.8;6.5;7.0;0.0;0;0;7.25;5.0;2;-1.0;0;0;0;5.625;2022;1;0;0;0;0;1;1;2;4;0;0;0
RA-666;1;U;10;2022;ametista;7.929;160.0;39.0;2.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;9.5;9.1;7.5;Não atendido;7.8;8.0;7.5;0.0;0;1;8.833;5.0;2;-1.0;1;1;1;5.9375;2022;0;1;0;0;0;1;2;2;4;0;0;0
RA-667;1;U;11;2021;quartzo;5.844;747.0;177.0;12.0;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não avaliado;8.5;5.6;7.5;Não atendido;4.5;3.7;5.3;0.0;0;0;5.833;5.0;2;-1.0;0;0;0;5.625;2022;0;1;0;0;0;1;0;2;4;0;0;0
RA-668;1;U;11;2022;quartzo;4.365;845.0;192.0;13.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;6.9;3.3;7.5;Não atendido;2.8;2.8;2.8;0.0;0;0;3.75;5.0;2;-1.0;0;0;0;4.375;2022;0;1;0;0;0;1;0;2;2;0;0;0
RA-669;1;U;11;2022;ametista;7.475;326.0;85.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;9.7;7.5;Não atendido;6.0;5.0;7.0;0.0;0;0;7.833;5.0;2;-1.0;1;0;1;6.25;2022;0;1;0;0;0;1;2;2;2;0;0;0
RA-670;1;U;10;2022;ametista;7.451;335.0;88.0;6.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;8.0;8.8;7.5;Não atendido;6.9;6.5;7.3;0.0;0;0;8.167;5.0;2;-1.0;1;0;1;6.25;2022;1;0;0;0;0;1;2;4;4;0;0;0
RA-671;0;A;9;2021;ametista;7.617;269.0;75.0;4.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;8.2;8.1;Sem limitações;8.8;8.8;8.8;0.0;0;0;7.417;5.0;1;-1.0;1;1;0;5.625;2022;0;1;0;0;0;1;2;4;2;0;0;4
RA-672;0;A;9;2021;ametista;7.48;323.0;96.0;6.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;8.5;8.1;Não atendido;8.8;8.5;9.1;0.0;0;0;6.75;5.0;1;-1.0;1;1;0;5.0;2022;1;0;0;0;0;1;2;2;2;0;0;0
RA-673;0;A;8;2022;topazio;8.65;21.0;2.0;1.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;9.2;8.1;Não atendido;9.2;9.4;8.9;0.0;1;1;8.583;10.0;0;0.0;1;1;1;5.9375;2022;1;0;0;0;0;1;3;5;2;0;0;0
RA-674;0;A;8;2022;ametista;7.862;181.0;50.0;3.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;8.7;8.1;Sem limitações;8.0;8.9;7.0;0.0;0;0;6.333;10.0;0;0.0;1;1;0;5.0;2022;0;1;0;0;0;1;2;2;2;0;0;4
RA-675;0;A;8;2022;ametista;7.576;284.0;79.0;5.0;Mantido na Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;6.6;8.1;Não atendido;7.4;8.8;5.9;0.0;1;0;7.083;10.0;0;0.0;0;0;0;5.625;2022;0;1;0;0;0;1;2;3;2;0;0;0
RA-676;0;A;9;2021;ametista;7.911;165.0;44.0;2.0;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;8.6;8.1;Não atendido;9.3;9.5;9.1;0.0;1;0;8.167;5.0;1;-1.0;1;1;1;5.3125;2022;0;1;0;0;0;1;2;5;2;0;0;0
RA-677;0;B;8;2021;topazio;8.358;52.0;13.0;1.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;9.4;7.5;Não atendido;7.3;7.7;6.8;0.0;0;1;8.583;10.0;0;0.0;1;0;1;5.625;2022;1;0;0;0;0;1;3;2;2;0;0;0
RA-678;0;B;9;2022;ametista;8.0;143.0;40.0;2.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;10.0;6.9;Sem limitações;7.3;7.5;7.0;0.0;0;1;9.5;5.0;1;-1.0;1;0;1;5.625;2022;0;1;0;0;0;1;2;2;2;0;0;4
RA-679;0;B;10;2020;ametista;7.172;441.0;129.0;6.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;8.2;7.5;Sem limitações;6.3;6.7;5.8;0.0;0;0;7.833;5.0;2;-2.0;1;0;1;5.625;2022;0;1;0;0;0;1;2;2;2;0;0;4
RA-680;0;B;10;2019;ametista;7.518;302.0;85.0;4.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;8.8;7.5;Não atendido;7.4;8.0;6.8;0.0;0;0;7.75;5.0;2;-2.0;1;0;1;5.3125;2022;1;0;0;0;0;1;2;2;2;0;0;0
RA-681;0;B;10;2022;ametista;7.204;427.0;128.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;8.5;6.9;Requer avaliação;6.5;6.5;6.5;0.0;0;0;8.0;5.0;2;-2.0;1;0;1;5.625;2022;0;1;0;0;0;1;2;2;2;0;0;3
RA-682;0;B;11;2022;ametista;7.625;262.0;74.0;3.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;9.1;7.5;Não atendido;7.0;7.0;7.0;0.0;0;0;8.083;5.0;2;-2.0;1;0;1;5.9375;2022;0;1;0;0;0;1;2;2;2;0;0;0
RA-683;0;C;10;2022;agata;6.011;728.0;180.0;3.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;7.9;5.0;7.5;Não atendido;4.0;8.0;0.0;0.0;0;0;8.083;5.0;2;-2.0;0;0;1;5.625;2022;0;1;0;0;0;1;1;2;2;0;0;0
RA-684;0;C;7;2022;topazio;8.26;72.0;19.0;1.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;7.5;8.1;Não atendido;9.3;9.0;9.6;0.0;0;0;7.917;10.0;0;0.0;0;1;1;5.625;2022;0;1;0;0;0;1;3;2;2;0;0;0
RA-685;0;C;9;2022;agata;6.864;533.0;152.0;2.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;6.2;5.0;Não indicado;8.0;8.0;8.0;0.0;0;0;7.833;5.0;1;-1.0;0;1;1;5.625;2022;0;1;0;0;0;1;1;2;2;0;0;2
RA-686;0;D;9;2022;ametista;7.729;227.0;62.0;5.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;7.5;8.6;8.1;Sem limitações;8.8;9.2;8.5;0.0;0;0;8.083;5.0;1;-1.0;1;1;1;5.625;2022;1;0;0;0;0;1;2;4;4;0;0;4
RA-687;0;D;9;2022;ametista;7.703;233.0;63.0;6.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;8.5;9.0;8.1;Sem limitações;8.3;9.0;7.5;0.0;0;0;8.0;5.0;1;-1.0;1;1;1;5.0;2022;0;1;0;0;0;1;2;4;4;0;0;4
RA-688;0;D;9;2022;ametista;7.771;212.0;56.0;4.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;9.7;7.5;Sem limitações;7.9;8.0;7.8;0.0;0;0;7.917;5.0;1;-1.0;1;1;1;5.625;2022;0;1;0;0;0;1;2;2;2;0;0;4
RA-689;0;D;9;2022;agata;6.433;655.0;172.0;9.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;7.4;7.9;5.6;Requer avaliação;5.8;6.0;5.5;0.0;0;0;6.667;5.0;1;-1.0;1;0;0;5.625;2022;1;0;0;0;0;1;1;2;2;0;0;3
RA-690;0;D;9;2022;ametista;7.541;294.0;83.0;8.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;9.5;7.5;Requer avaliação;7.0;7.2;6.8;0.0;0;0;7.417;5.0;1;-1.0;1;0;0;5.625;2022;1;0;0;0;0;1;2;2;2;0;0;3
RA-691;0;D;8;2022;topazio;8.68;16.0;1.0;1.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;9.2;8.1;Sem limitações;9.4;9.6;9.3;0.0;0;0;7.917;10.0;0;0.0;1;1;1;5.625;2022;1;0;0;0;0;1;3;2;2;0;0;4
RA-692;0;D;9;2021;ametista;7.569;285.0;80.0;7.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;9.5;8.9;8.1;Sem limitações;6.9;7.0;6.8;0.0;0;0;7.917;5.0;1;-1.0;1;0;1;5.625;2022;1;0;0;0;0;1;2;4;4;0;0;4
RA-693;0;D;7;2022;ametista;7.944;158.0;43.0;3.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;9.8;8.1;Sem limitações;5.7;5.0;6.3;0.0;0;0;7.667;10.0;0;0.0;1;0;1;5.625;2022;1;0;0;0;0;1;2;2;2;0;0;4
RA-694;0;D;8;2022;topazio;8.378;49.0;11.0;2.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;9.0;8.1;Sem limitações;8.1;8.2;8.0;0.0;0;0;7.917;10.0;0;0.0;1;1;1;5.625;2022;0;1;0;0;0;1;3;2;2;0;0;4
RA-695;0;E;8;2021;quartzo;4.28;849.0;189.0;5.0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;9.0;3.1;7.5;Sem limitações;2.5;2.2;2.8;0.0;0;0;2.5;10.0;0;0.0;0;0;0;0.0;2022;1;0;0;0;0;1;0;0;0;0;0;4
RA-696;0;E;9;2021;ametista;7.441;338.0;98.0;2.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;8.5;9.0;7.5;Sem limitações;6.6;6.5;6.7;0.0;0;0;8.167;5.0;1;-1.0;1;0;1;5.9375;2022;1;0;0;0;0;1;2;4;4;0;0;4
RA-697;0;E;11;2021;ametista;7.675;246.0;67.0;1.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;7.0;9.3;7.5;Sem limitações;8.4;8.8;8.0;0.0;0;0;8.083;5.0;2;-2.0;1;1;1;5.625;2022;0;1;0;0;0;1;2;4;4;0;0;4
RA-698;0;E;9;2021;ametista;7.44;339.0;99.0;3.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;9.0;9.8;2.5;Requer avaliação;8.1;8.0;8.2;0.0;0;0;8.083;5.0;1;-1.0;1;1;1;5.9375;2022;0;1;0;0;0;1;2;4;4;0;0;3
RA-699;0;E;9;2022;agata;6.658;603.0;165.0;4.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;5.2;9.2;7.5;Sem limitações;7.1;7.5;6.7;0.0;0;0;6.0;5.0;1;-1.0;1;0;0;4.375;2022;0;1;0;0;0;1;1;4;4;0;0;4
RA-700;0;F;9;2022;ametista;7.738;224.0;60.0;2.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;8.7;7.5;Não atendido;9.2;9.2;9.2;0.0;0;0;7.083;5.0;1;-1.0;1;1;0;5.9375;2022;1;0;0;0;0;1;2;4;2;0;0;0
RA-701;0;F;10;2021;ametista;7.755;215.0;57.0;1.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;9.3;7.5;Não indicado;8.7;8.7;8.7;0.0;0;0;7.417;5.0;2;-2.0;1;1;0;5.3125;2022;0;1;0;0;0;1;2;4;2;0;0;2
RA-702;0;F;8;2022;ametista;7.387;366.0;110.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;8.6;5.0;Não indicado;6.8;7.0;6.7;0.0;0;0;7.0;10.0;0;0.0;1;0;0;4.0625;2022;1;0;0;0;0;1;2;2;2;0;0;2
RA-703;0;F;10;2021;agata;6.099;710.0;177.0;9.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;7.5;7.4;5.0;Não indicado;5.1;5.3;4.8;0.0;0;0;6.833;5.0;2;-2.0;0;0;0;5.0;2022;0;1;0;0;0;1;1;2;2;0;0;2
RA-704;0;F;10;2022;agata;6.741;572.0;160.0;7.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;8.6;5.0;Não atendido;7.2;7.7;6.6;0.0;0;0;6.583;5.0;2;-2.0;1;0;0;3.75;2022;0;1;0;0;0;1;1;2;2;0;0;0
RA-705;0;F;10;2022;agata;6.634;614.0;168.0;8.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;6.2;7.5;Não atendido;7.1;7.0;7.2;0.0;0;0;6.333;5.0;2;-2.0;0;0;0;5.0;2022;0;1;0;0;0;1;1;2;2;0;0;0
RA-706;0;F;10;2021;ametista;7.659;252.0;69.0;4.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;6.7;7.5;Não atendido;9.1;9.1;9.1;0.0;0;1;8.417;5.0;2;-2.0;0;1;1;6.25;2022;1;0;0;0;0;1;2;4;2;0;0;0
RA-707;0;F;10;2020;ametista;7.679;241.0;64.0;3.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;8.1;6.9;Não atendido;8.5;8.8;8.2;0.0;0;0;8.083;5.0;2;-2.0;1;1;1;5.625;2022;1;0;0;0;0;1;2;4;2;0;0;0
RA-708;0;F;9;2022;ametista;7.282;400.0;117.0;6.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;8.0;8.4;7.5;Não atendido;7.3;7.1;7.6;0.0;0;0;7.583;5.0;1;-1.0;1;0;1;5.625;2022;0;1;0;0;0;1;2;4;2;0;0;0
RA-709;0;F;10;2022;quartzo;5.313;801.0;186.0;10.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;3.5;7.5;Não atendido;2.3;2.3;2.3;0.0;0;0;7.083;5.0;2;-2.0;0;0;0;5.3125;2022;1;0;0;0;0;1;0;2;2;0;0;0
RA-710;0;G;10;2020;ametista;7.285;398.0;116.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;8.9;5.0;Não atendido;6.9;7.0;6.8;0.0;0;0;8.0;5.0;2;-2.0;1;0;1;5.625;2022;0;1;0;0;0;1;2;2;2;0;0;0
RA-711;0;G;9;2022;agata;6.04;721.0;178.0;11.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;7.9;6.3;Não atendido;3.5;4.0;3.0;0.0;0;0;6.0;5.0;1;-1.0;1;0;0;5.3125;2022;0;1;0;0;0;1;1;2;2;0;0;0
RA-712;0;G;11;2019;agata;6.026;725.0;179.0;12.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;8.0;5.1;5.0;Não indicado;8.0;8.7;7.3;0.0;0;0;5.833;5.0;2;-2.0;0;1;0;4.375;2022;0;1;0;0;0;1;1;4;2;0;0;2
RA-713;0;G;9;2021;ametista;7.42;348.0;102.0;3.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;8.7;7.5;Não atendido;7.8;8.0;7.7;0.0;0;0;7.25;5.0;1;-1.0;1;1;0;4.0625;2022;0;1;0;0;0;1;2;2;2;0;0;0
RA-714;0;G;11;2019;agata;6.953;503.0;144.0;6.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;9.0;6.9;5.6;Não indicado;8.0;8.5;7.5;0.0;0;0;7.25;5.0;2;-2.0;0;1;0;5.625;2022;0;1;0;0;0;1;1;4;4;0;0;2
RA-715;0;G;9;2022;agata;6.656;604.0;166.0;9.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.5;8.7;4.4;Não indicado;4.9;4.8;5.0;0.0;0;0;7.917;5.0;1;-1.0;1;0;1;5.625;2022;1;0;0;0;0;1;1;2;2;0;0;2
RA-716;0;G;9;2022;agata;6.525;641.0;171.0;10.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.9;8.1;7.5;Não atendido;6.7;7.3;6.0;0.0;0;0;5.417;5.0;1;-1.0;1;0;0;3.4375;2022;0;1;0;0;0;1;1;2;2;0;0;0
RA-717;0;G;10;2021;agata;6.832;545.0;155.0;7.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;9.0;7.3;7.5;Não atendido;5.4;5.0;5.8;0.0;0;0;7.917;5.0;2;-2.0;0;0;1;5.625;2022;1;0;0;0;0;1;1;4;4;0;0;0
RA-718;0;G;8;2022;topazio;8.093;118.0;33.0;1.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.0;8.9;6.3;Sem limitações;9.2;9.2;9.2;0.0;0;0;7.417;10.0;0;0.0;1;1;0;5.625;2022;1;0;0;0;0;1;3;2;2;0;0;4
RA-719;0;G;10;2021;quartzo;5.552;783.0;185.0;13.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;4.6;7.5;Não atendido;4.2;5.0;3.3;0.0;0;0;6.083;5.0;2;-2.0;0;0;0;4.375;2022;1;0;0;0;0;1;0;2;2;0;0;0
RA-720;0;G;9;2021;agata;6.731;575.0;161.0;8.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.0;5.9;7.5;Não atendido;7.6;7.3;7.8;0.0;0;0;7.083;5.0;1;-1.0;0;1;0;5.625;2022;1;0;0;0;0;1;1;2;2;0;0;0
RA-721;0;G;8;2021;ametista;7.973;149.0;41.0;2.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;8.1;7.5;Não atendido;7.6;8.2;7.0;0.0;0;0;7.917;10.0;0;0.0;1;1;1;5.625;2022;1;0;0;0;0;1;2;2;2;0;0;0
RA-722;0;G;9;2021;ametista;7.41;355.0;106.0;4.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;10.0;8.1;4.4;Sem limitações;8.1;7.8;8.3;0.0;0;0;8.333;5.0;1;-1.0;1;1;1;5.625;2022;1;0;0;0;0;1;2;4;4;0;0;4
RA-723;0;H;8;2022;ametista;7.426;345.0;101.0;4.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;6.6;8.1;Não atendido;5.5;5.3;5.7;0.0;0;0;8.167;10.0;0;0.0;0;0;1;5.625;2022;1;0;0;0;0;1;2;4;2;0;0;0
RA-724;0;H;8;2022;agata;6.931;512.0;146.0;6.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;5.9;5.6;Sem limitações;5.6;2.9;8.3;0.0;0;0;8.0;10.0;0;0.0;0;0;1;5.3125;2022;1;0;0;0;0;1;1;4;2;0;0;4
RA-725;0;H;8;2022;agata;6.33;675.0;175.0;7.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;8.0;5.9;8.1;Não atendido;5.0;4.0;6.0;0.0;0;0;5.5;10.0;0;0.0;0;0;0;4.375;2022;0;1;0;0;0;1;1;2;2;0;0;0
RA-726;0;H;7;2022;agata;6.985;492.0;140.0;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;7.5;7.5;Não atendido;4.4;5.8;3.0;0.0;0;0;6.583;10.0;0;0.0;1;0;0;5.3125;2022;1;0;0;0;0;1;1;2;2;0;0;0
RA-727;0;H;8;2022;ametista;7.736;225.0;61.0;3.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;9.0;7.7;8.1;Não atendido;8.4;9.3;7.4;0.0;0;0;6.75;10.0;0;0.0;1;1;0;4.6875;2022;0;1;0;0;0;1;2;4;2;0;0;0
RA-728;0;H;8;2022;topazio;8.244;74.0;20.0;1.0;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;9.5;7.3;8.1;Não atendido;9.1;9.3;8.9;0.0;0;0;8.167;10.0;0;0.0;0;1;1;5.625;2022;1;0;0;0;0;1;3;4;2;0;0;0
RA-729;0;H;8;2022;topazio;8.155;96.0;26.0;2.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;10.0;8.7;8.1;Não atendido;8.1;8.5;7.8;0.0;0;0;7.25;10.0;0;0.0;1;1;0;5.3125;2022;1;0;0;0;0;1;3;2;2;0;0;0
RA-730;0;I;10;2021;ametista;7.902;169.0;46.0;1.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;10.0;8.2;8.8;Não atendido;8.3;8.7;8.0;0.0;0;0;8.25;5.0;2;-2.0;1;1;1;5.625;2022;1;0;0;0;0;1;2;4;4;0;0;0
RA-731;0;I;10;2019;ametista;7.151;443.0;130.0;3.0;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;9.0;8.5;6.9;Requer avaliação;7.3;7.3;7.2;0.0;0;0;7.083;5.0;2;-2.0;1;0;0;5.0;2022;1;0;0;0;0;1;2;4;4;0;0;3
